trade_id,price,side,pos_side,type,qty,pnl,fee_paid,long_pos_size,long_pos_price,shrt_pos_size,shrt_pos_price,liq_diff,equity,pnl_plus_fees_cumsum,loss_cumsum,profit_cumsum,fee_paid_cumsum,actual_balance,apparent_balance,liq_price,timestamp,progress,drawdown,gain,n_days,average_daily_gain,hours_since_long_pos_change,hours_since_shrt_pos_change,hours_since_pos_change_max
1,0.5264800000000001,sel,shrt,entry,-44.0,0.0,-0.004169721600000001,0.0,,-44.0,0.5264800000000001,1.0,19.994070278400002,-0.004169721600000001,0.0,0.0,-0.004169721600000001,19.9958302784,11.3776274284096,0.9750802069040303,1613819324453,1.4267388843843573e-07,8.80260985127517e-05,0.9997035139200001,3.0092592592592594e-07,0.0,0.0,0.0,0.0
17,0.52683,buy,long,entry,44.0,0.0,-0.0041724936,44.0,0.52683,-44.0,0.5264800000000001,0.8508792507953957,19.976257784800005,-0.008342215200000001,0.0,0.0,-0.008342215200000001,19.9916577848,11.375253279551199,37.83382156212131,1613819326793,2.425456103453407e-06,0.0007709151616832853,0.9988128892400002,2.738425925925926e-05,1.4524499005576006e-19,0.0,0.0,0.0
413,0.52552,buy,shrt,close,44.0,0.042240000000003164,-0.0041621184,44.0,0.52683,-0.0,,70.99448452383648,19.971655666400004,0.029735666400003163,0.0,0.042240000000003164,-0.0125043336,20.029735666400004,11.396919594181602,0.07204098073897927,1613819516674,5.892431592507395e-05,0.0029081214382097134,0.9985827833200002,0.0022250810185185186,0.5286758028934405,0.05274472222222222,0.0,0.05274472222222222
422,0.52551,sel,shrt,entry,-44.0,0.0,-0.0041620392,44.0,0.52683,-44.0,0.52551,0.8629174723822061,19.967493627200003,0.02557362720000316,0.0,0.042240000000003164,-0.016666372800000002,20.025573627200004,11.394551393876801,37.81722277878798,1613819518064,6.0208380921019876e-05,0.0029087276092019357,0.9983746813600002,0.0022411689814814816,0.48393716566857625,0.053130833333333335,0.0003861111111111111,0.053130833333333335
924,0.52455,buy,shrt,close,44.0,0.042240000000003164,-0.004154436,44.0,0.52683,-0.0,,71.09597509968349,19.962899191200005,0.06365919120000632,0.0,0.08448000000000633,-0.020820808800000003,20.063659191200006,11.416222079792803,0.07126533768062912,1613819693477,0.0001318306729171146,0.005047363062596531,0.9981449595600003,0.004271412037037037,0.6474618547871565,0.10185666666666666,0.0,0.10185666666666666
994,0.52475,sel,shrt,entry,-44.0,0.0,-0.004156020000000001,44.0,0.52683,-44.0,0.52475,0.8642099430649953,19.967983171200007,0.05950317120000632,0.0,0.08448000000000633,-0.024976828800000003,20.059503171200006,11.413857304412803,37.81814994545465,1613819694413,0.0001418178451078051,0.004583337196116994,0.9983991585600004,0.00428224537037037,0.6878862444822238,0.10211666666666666,0.00026,0.10211666666666666
2203,0.5238,buy,shrt,close,44.0,0.04180000000000028,-0.004148496000000001,44.0,0.52683,-0.0,,71.2009773868433,19.963394675200004,0.09715467520000659,0.0,0.1262800000000066,-0.029125324800000005,20.097154675200006,11.435281010188802,0.07049948154380821,1613820216148,0.00031431057622987387,0.006700263265654354,0.9981697337600002,0.010320844907407407,0.8373615467629354,0.24704305555555556,0.0,0.24704305555555556
2247,0.52441,sel,shrt,entry,-44.0,0.0,-0.004153327200000001,44.0,0.52683,-44.0,0.52441,0.8656128830655582,19.986521348000007,0.09300134800000659,0.0,0.1262800000000066,-0.033278652000000006,20.093001348000005,11.432917767012002,37.853260128787994,1613820217023,0.00032058822732116505,0.0053275904368747405,0.9993260674000004,0.010330972222222222,0.9368274351157433,0.24728611111111112,0.00024305555555555555,0.24728611111111112
3837,0.52346,buy,shrt,close,44.0,0.04180000000000028,-0.004145803200000001,44.0,0.52683,-0.0,,71.31494914277964,19.981935544800006,0.13065554480000688,0.0,0.1680800000000069,-0.037424455200000005,20.130655544800007,11.454343004991204,0.06973350226815427,1613821015247,0.0005474397099382778,0.00744272243630087,0.9990967772400003,0.019569675925925924,0.9548747895492982,0.469015,0.0,0.469015
3854,0.5234,sel,shrt,entry,-45.0,0.0,-0.00423954,44.0,0.52683,-45.0,0.5234,0.8667886026817562,19.975416004800007,0.12641600480000686,0.0,0.1680800000000069,-0.041663995200000005,20.126416004800006,11.451930706731202,13.363035205215136,1613821016391,0.0005498651660417312,0.007559291879764364,0.9987708002400003,0.019582916666666665,0.9391241510423679,0.46933277777777777,0.0003177777777777778,0.46933277777777777
6328,0.52245,buy,shrt,close,45.0,0.04275000000000029,-0.004231845,44.0,0.52683,-0.0,,24.578613795561385,19.97133415980001,0.16493415980000714,0.0,0.21083000000000718,-0.0458958402,20.16493415980001,11.473847536926204,0.068949740264313,1613822287341,0.0009028403660384213,0.009693894181075517,0.9985667079900005,0.03429298611111111,0.9590371496919848,0.8223744444444444,0.0,0.8223744444444444
6347,0.52225,sel,shrt,entry,-45.0,0.0,-0.004230225,44.0,0.52683,-45.0,0.52225,0.8679781329906311,19.959173934800006,0.16070393480000714,0.0,0.21083000000000718,-0.0501260652,20.160703934800008,11.471440538901204,13.351651847979152,1613822288976,0.0009055511699187515,0.010097111266144248,0.9979586967400003,0.03431190972222222,0.9421852559488038,0.8228286111111112,0.0004541666666666667,0.8228286111111112
14561,0.52779,sel,long,close,-44.0,0.04223999999999828,-0.004180096800000001,0.0,,-45.0,0.52225,24.29680153084341,19.949013838000003,0.1987638380000054,0.0,0.25307000000000546,-0.054306162,20.198763838000005,11.493096623822002,0.965319501612547,1613826008631,0.0020774744895520627,0.012519415848229276,0.9974506919000001,0.07736347222222222,0.9675439556685111,0.0,1.0336916666666667,1.0336916666666667
14584,0.52787,buy,long,entry,44.0,0.0,-0.0041807304,44.0,0.52787,-45.0,0.52225,0.8289494157115326,19.941753107600004,0.1945831076000054,0.0,0.25307000000000546,-0.0584868924,20.194583107600003,11.490717788224401,13.343906849804444,1613826011199,0.0020807559889861466,0.012678423939750983,0.9970876553800002,0.07739319444444444,0.9630158548230345,0.0,1.034405,1.034405
15013,0.52883,sel,long,close,-44.0,0.042240000000003164,-0.004188333600000001,0.0,,-45.0,0.52225,24.231931265584652,19.935634774000007,0.23263477400000857,0.0,0.2953100000000086,-0.062675226,20.232634774000008,11.512369186406003,0.9660676998895515,1613826070382,0.0021419630871262352,0.014897945481392299,0.9967817387000004,0.07807818287037037,0.9595557004467881,0.0,1.0508447222222221,1.0508447222222221
15055,0.52904,buy,long,entry,44.0,0.0,-0.0041899968,44.0,0.52904,-45.0,0.52225,0.826422089253132,19.922994777200007,0.22844477720000855,0.0,0.2953100000000086,-0.0668652228,20.228444777200007,11.509985078226803,13.332421627900928,1613826071511,0.00214795539044065,0.015331530395699306,0.9961497388600004,0.07809125,0.9518005195677434,0.0,1.0511583333333334,1.0511583333333334
15288,0.53,sel,long,close,-44.0,0.042240000000003164,-0.0041976,0.0,,-45.0,0.52225,24.15503788211718,19.91728717720001,0.2664871772000117,0.0,0.3375500000000118,-0.0710628228,20.26648717720001,11.531631203826803,0.9668154887828584,1613826082347,0.002181198406446805,0.017532508162042305,0.9958643588600005,0.07821666666666667,0.9483953723388417,0.0,1.0541683333333334,1.0541683333333334
15295,0.5299,buy,long,entry,44.0,0.0,-0.004196808000000001,44.0,0.5299,-45.0,0.52225,0.8245932829751234,19.918060369200006,0.2622903692000117,0.0,0.3375500000000118,-0.07525963079999999,20.26229036920001,11.529243220074804,13.329817711342907,1613826083492,0.0021821971236658743,0.01728230528572441,0.9959030184600003,0.07822991898148147,0.9488746202513321,0.0,1.054486388888889,1.054486388888889
22862,0.53086,sel,long,close,-44.0,0.04223999999999828,-0.0042044112,0.0,,-45.0,0.52225,24.109382167654807,19.91242595800001,0.30032595800001,0.0,0.37979000000001006,-0.07946404199999998,20.30032595800001,11.550885470102005,0.9675629767616524,1613828607268,0.0032618104374795174,0.01948029842361602,0.9956212979000005,0.10744028935185185,0.959978647001581,0.0,1.7555352777777777,1.7555352777777777
