# note: symbols with little price history are not optimized on their own; instead the best config from among the symbols with more price history is chosen.

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                             long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| BLURUSDT      | 0.00238       | 0.0008414   | 0.03931      | 41.25         | 0.01156      | 0.009012    | 0.02242        | 0.9735                 | 0.002121     | 96.5    | -480179.30238  |
| 1000LUNCUSDT  | 0.001713      | 0.002467    | 0.0591       | 56.93         | 0.006588     | 0.01872     | 0.06232        | 0.8071                 | 0.01208      | 327.46  | -480179.301713 |
| MKRUSDT       | 0.001565      | 0.002247    | 0.06928      | 83.23         | 0.009786     | 0.01443     | 0.01902        | 0.7933                 | 0.008877     | 1084.71 | -480179.301565 |
| XRPUSDT       | 0.001509      | 0.002665    | 0.06049      | 71.22         | 0.004623     | 0.009215    | 0.09565        | 0.8039                 | 0.006175     | 1303.67 | -480179.301509 |
| DOGEUSDT      | 0.001495      | 0.003354    | 0.06461      | 68.38         | 0.006542     | 0.0148      | 0.04319        | 0.7937                 | 0.009356     | 1118.62 | -480179.301495 |
| LQTYUSDT      | 0.001366      | 0.001847    | 0.06468      | 72.83         | 0.01019      | 0.015       | 0.09053        | 0.8771                 | 0.0103       | 145.5   | -480179.301366 |
| ALPHAUSDT     | 0.001337      | 0.002436    | 0.06117      | 92.65         | 0.01354      | 0.01736     | 0.0626         | 0.7564                 | 0.01093      | 982.71  | -480179.301337 |
| ARPAUSDT      | 0.001333      | 0.001402    | 0.05654      | 60.15         | 0.008252     | 0.01154     | 0.04504        | 0.8825                 | 0.007649     | 652.88  | -480179.301333 |
| HBARUSDT      | 0.001322      | 0.002728    | 0.06999      | 89.15         | 0.008052     | 0.01163     | 0.06265        | 0.8408                 | 0.008047     | 867.71  | -480179.301322 |
| MATICUSDT     | 0.001307      | 0.003812    | 0.06597      | 74.87         | 0.008952     | 0.01165     | 0.0195         | 0.85                   | 0.009531     | 1014.71 | -480179.301307 |
| NKNUSDT       | 0.001303      | 0.002288    | 0.06995      | 87.55         | 0.01296      | 0.01685     | 0.02832        | 0.8053                 | 0.01068      | 844.71  | -480179.301303 |
| RNDRUSDT      | 0.00128       | 0.002437    | 0.06357      | 55.28         | 0.009204     | 0.01557     | 0.01045        | 0.8883                 | 0.01008      | 180.92  | -480179.30128  |
| OMGUSDT       | 0.001248      | 0.002043    | 0.06708      | 69.5          | 0.009942     | 0.01309     | 0.04089        | 0.8263                 | 0.007911     | 1126.62 | -480179.301248 |
| RLCUSDT       | 0.001234      | 0.002211    | 0.05036      | 89.23         | 0.01373      | 0.01361     | 0.01366        | 0.8813                 | 0.005597     | 1097.71 | -480179.301234 |
| 1000PEPEUSDT  | 0.001226      | 0.00226     | 0.04346      | 28.63         | 0.01181      | 0.009823    | 0.0            | 0.9614                 | 0.004004     | 89.33   | -480179.301226 |
| CELRUSDT      | 0.001208      | 0.002556    | 0.06869      | 95.98         | 0.01349      | 0.01912     | 0.03223        | 0.7638                 | 0.01223      | 855.71  | -480179.301208 |
| SOLUSDT       | 0.001204      | 0.001816    | 0.05202      | 85.15         | 0.01417      | 0.01645     | 0.0663         | 0.7801                 | 0.009722     | 1052.71 | -480179.301204 |
| WAVESUSDT     | 0.001187      | 0.001779    | 0.06494      | 45.83         | 0.009941     | 0.01947     | 0.06263        | 0.7521                 | 0.01269      | 1085.71 | -480179.301187 |
| TOMOUSDT      | 0.001171      | 0.00129     | 0.06947      | 90.45         | 0.01564      | 0.01666     | 0.07969        | 0.8379                 | 0.01002      | 1024.71 | -480179.301171 |
| MANAUSDT      | 0.00115       | 0.002204    | 0.05717      | 71.45         | 0.008497     | 0.01388     | 0.0491         | 0.7937                 | 0.009079     | 870.71  | -480179.30115  |
| YFIUSDT       | 0.001112      | 0.002623    | 0.06973      | 79.28         | 0.00942      | 0.01833     | 0.06816        | 0.7526                 | 0.01459      | 1066.71 | -480179.301112 |
| SKLUSDT       | 0.00111       | 0.002263    | 0.06863      | 92.37         | 0.01459      | 0.01968     | 0.06961        | 0.792                  | 0.01313      | 967.71  | -480179.30111  |
| STXUSDT       | 0.001098      | 0.001794    | 0.06499      | 72.13         | 0.01134      | 0.01128     | 0.001614       | 0.9121                 | 0.005802     | 162.42  | -480179.301098 |
| SNXUSDT       | 0.00108       | 0.001952    | 0.06513      | 90.37         | 0.01444      | 0.01897     | 0.02609        | 0.7876                 | 0.01123      | 1083.71 | -480179.30108  |
| GRTUSDT       | 0.001067      | 0.002015    | 0.06619      | 64.7          | 0.01432      | 0.0185      | 0.05696        | 0.7804                 | 0.01061      | 956.71  | -480179.301067 |
| NEARUSDT      | 0.001067      | 0.002165    | 0.06152      | 80.47         | 0.01355      | 0.01384     | 0.06142        | 0.8326                 | 0.008499     | 1021.67 | -480179.301067 |
| FETUSDT       | 0.001063      | 0.002297    | 0.04212      | 46.12         | 0.007362     | 0.007415    | 0.005014       | 0.9493                 | 0.003376     | 197.92  | -480179.301063 |
