+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| MATICUSDT    | 0.00158       | 0.004144    | 0.06742      | 91.12         | 0.01237      | 0.01725     | 0.04137        | 0.8095                 | 0.01161      | 967.67  | -240179.25158  |
| YFIUSDT      | 0.001555      | 0.003993    | 0.03569      | 94.52         | 0.009855     | 0.01051     | 0.04392        | 0.8452                 | 0.006246     | 1018.67 | -240179.251555 |
| SOLUSDT      | 0.002603      | 0.003778    | 0.06983      | 83.25         | 0.01214      | 0.01711     | 0.09083        | 0.8476                 | 0.01171      | 1005.67 | -240179.252603 |
| DOGEUSDT     | 0.001787      | 0.00366     | 0.07491      | 83.82         | 0.007621     | 0.01509     | 0.0651         | 0.7779                 | 0.01049      | 1066.58 | -240179.251787 |
| HOTUSDT      | 0.001598      | 0.003548    | 0.07453      | 63.53         | 0.009222     | 0.01514     | 0.05151        | 0.8326                 | 0.01107      | 808.67  | -240179.251598 |
| HBARUSDT     | 0.002048      | 0.003511    | 0.07179      | 59.5          | 0.007136     | 0.01678     | 0.07379        | 0.7775                 | 0.01075      | 821.67  | -240179.252048 |
| AXSUSDT      | 0.001409      | 0.003504    | 0.07126      | 82.07         | 0.01214      | 0.01465     | 0.01537        | 0.8044                 | 0.01074      | 933.67  | -240179.251409 |
| XRPUSDT      | 0.001748      | 0.003306    | 0.0739       | 87.47         | 0.008454     | 0.01858     | 0.06447        | 0.6591                 | 0.01391      | 1257.62 | -240179.251748 |
| EDUUSDT      | 0.003658      | 0.003276    | 0.04163      | 27.92         | 0.008742     | 0.00677     | 0.0            | 0.971                  | 0.003005     | 47.46   | -240179.253658 |
| ALPHAUSDT    | 0.00179       | 0.003171    | 0.05502      | 92.67         | 0.01297      | 0.01791     | 0.02404        | 0.7442                 | 0.01057      | 930.67  | -240179.25179  |
| CHZUSDT      | 0.002219      | 0.003167    | 0.06193      | 82.97         | 0.0109       | 0.01816     | 0.07287        | 0.6748                 | 0.01221      | 871.67  | -240179.252219 |
| SXPUSDT      | 0.001023      | 0.003008    | 0.06442      | 92.95         | 0.01784      | 0.01886     | 0.08526        | 0.732                  | 0.01391      | 1057.58 | -240179.251023 |
| 1000LUNCUSDT | 0.002338      | 0.002981    | 0.01514      | 63.12         | 0.004943     | 0.005244    | 0.0008133      | 0.944                  | 0.002619     | 275.42  | -240179.252338 |
| RVNUSDT      | 0.001479      | 0.002744    | 0.07365      | 84.88         | 0.0108       | 0.01327     | 0.03509        | 0.812                  | 0.00776      | 843.67  | -240179.251479 |
| FETUSDT      | 0.00211       | 0.002683    | 0.04333      | 36.5          | 0.00997      | 0.008036    | 0.008585       | 0.9522                 | 0.004177     | 150.88  | -240179.25211  |
| ANKRUSDT     | 0.001752      | 0.002645    | 0.06982      | 75.97         | 0.0108       | 0.01561     | 0.05518        | 0.8433                 | 0.01136      | 866.67  | -240179.251752 |
| DENTUSDT     | 0.001139      | 0.002643    | 0.06559      | 59.38         | 0.009251     | 0.01828     | 0.05365        | 0.7389                 | 0.0112       | 809.79  | -240179.251139 |
