+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                                |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| LDOUSDT      | 0.008081                  | 35.7          | 0.01908          | 0.02589         | 0.04461           | 0.8831                       | 0.02408         | 201.5   | -36007.008080664615 |
| OPUSDT       | 0.007203                  | 56.2          | 0.02442          | 0.02829         | 0.1215            | 0.8946                       | 0.02262         | 314.41  | -36007.00720344117  |
| INJUSDT      | 0.007162                  | 38.43         | 0.0237           | 0.02557         | 0.2709            | 0.8969                       | 0.02418         | 237.88  | -36007.0071615863   |
| SPELLUSDT    | 0.006684                  | 19.92         | 0.01074          | 0.01523         | 0.1722            | 0.9278                       | 0.01539         | 217.5   | -36007.006683737825 |
| 1000LUNCUSDT | 0.006236                  | 44.97         | 0.0149           | 0.02345         | 0.07795           | 0.9086                       | 0.01842         | 214.46  | -36007.006235506735 |
| QNTUSDT      | 0.006121                  | 40.77         | 0.01867          | 0.02736         | 0.1898            | 0.9244                       | 0.02206         | 173.89  | -36007.00612127206  |
| IMXUSDT      | 0.006073                  | 75.8          | 0.01584          | 0.02072         | 0.2885            | 0.9481                       | 0.01567         | 424.85  | -36007.006073359415 |
| APTUSDT      | 0.004935                  | 26.43         | 0.01014          | 0.01078         | 0.2646            | 0.9788                       | 0.006943        | 174.92  | -36007.0049350894   |
| ICPUSDT      | 0.004766                  | 36.05         | 0.008644         | 0.0121          | 0.2377            | 0.9721                       | 0.01001         | 196.89  | -36007.00476602292  |
| CVXUSDT      | 0.00471                   | 34.7          | 0.02176          | 0.02959         | 0.1579            | 0.8872                       | 0.02758         | 201.49  | -36007.00471008188  |
