+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                               long                                                                                              |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| symbol    | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score               |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| SOLUSDT   | 0.003441                  | 63.37         | 0.01102          | 0.01311         | 0.1211            | 0.8848                       | 0.007283        | 908.67  | -56012.50344107981  |
| BANDUSDT  | 0.003296                  | 75.33         | 0.01332          | 0.01305         | 0.1419            | 0.848                        | 0.009031        | 955.67  | -56012.50329564097  |
| SANDUSDT  | 0.003044                  | 82.53         | 0.009928         | 0.01698         | 0.158             | 0.8587                       | 0.009992        | 775.67  | -56012.50304379311  |
| DOGEUSDT  | 0.002679                  | 83.82         | 0.006254         | 0.01348         | 0.1245            | 0.8149                       | 0.008721        | 974.58  | -56012.50267867958  |
| HNTUSDT   | 0.002511                  | 72.28         | 0.01038          | 0.01673         | 0.1765            | 0.8928                       | 0.009459        | 894.67  | -56012.502511214014 |
| HBARUSDT  | 0.002489                  | 59.42         | 0.008384         | 0.01514         | 0.2087            | 0.883                        | 0.009746        | 724.67  | -56012.50248898403  |
| OCEANUSDT | 0.002421                  | 75.5          | 0.01244          | 0.01576         | 0.2348            | 0.8653                       | 0.009985        | 858.67  | -56012.50242139753  |
| MKRUSDT   | 0.002402                  | 86.8          | 0.009859         | 0.01531         | 0.1895            | 0.8792                       | 0.009076        | 940.67  | -56012.50240156936  |
| CHZUSDT   | 0.002309                  | 55.5          | 0.009744         | 0.02172         | 0.1945            | 0.8082                       | 0.009052        | 779.67  | -56012.5023087328   |
| GRTUSDT   | 0.002232                  | 79.78         | 0.01196          | 0.01259         | 0.2284            | 0.8323                       | 0.008552        | 812.67  | -56012.50223221652  |
| MATICUSDT | 0.002093                  | 74.3          | 0.009683         | 0.01527         | 0.1788            | 0.8865                       | 0.009364        | 870.67  | -56012.502093345654 |
| LINKUSDT  | 0.002082                  | 80.27         | 0.009615         | 0.01673         | 0.2122            | 0.8351                       | 0.008035        | 1149.62 | -56012.50208183135  |
| UNFIUSDT  | 0.002066                  | 46.97         | 0.01145          | 0.0182          | 0.282             | 0.7979                       | 0.00996         | 750.67  | -56012.50206626262  |
| AVAXUSDT  | 0.002053                  | 91.63         | 0.008421         | 0.02213         | 0.2319            | 0.8421                       | 0.009501        | 899.67  | -56012.50205339075  |
| ANKRUSDT  | 0.002048                  | 95.43         | 0.01276          | 0.01857         | 0.2176            | 0.8925                       | 0.009848        | 774.67  | -56012.502048087306 |
| WAVESUSDT | 0.002023                  | 92.28         | 0.01314          | 0.01728         | 0.2038            | 0.8524                       | 0.009965        | 941.67  | -56012.50202276296  |
| MANAUSDT  | 0.002018                  | 90.33         | 0.008489         | 0.01592         | 0.2474            | 0.8347                       | 0.008617        | 726.67  | -56012.50201763473  |
| REEFUSDT  | 0.00198                   | 75.32         | 0.01395          | 0.01439         | 0.1383            | 0.8796                       | 0.0098          | 747.67  | -56012.501980143454 |
| AAVEUSDT  | 0.001978                  | 40.72         | 0.006297         | 0.01241         | 0.225             | 0.8627                       | 0.006591        | 876.67  | -56012.50197784892  |
| SUSHIUSDT | 0.001939                  | 83.08         | 0.01179          | 0.01596         | 0.1688            | 0.8547                       | 0.008775        | 918.67  | -56012.501939365    |
| ETCUSDT   | 0.001899                  | 87.37         | 0.006294         | 0.0147          | 0.1809            | 0.8828                       | 0.006188        | 1150.62 | -56012.5018993198   |
| RENUSDT   | 0.001879                  | 65.83         | 0.009168         | 0.01851         | 0.2412            | 0.8866                       | 0.009552        | 879.67  | -56012.50187918228  |
| ALGOUSDT  | 0.001792                  | 71.6          | 0.0111           | 0.01462         | 0.1279            | 0.8284                       | 0.009499        | 998.58  | -56012.501791874936 |
| YFIUSDT   | 0.001789                  | 50.57         | 0.008424         | 0.01282         | 0.0155            | 0.8733                       | 0.006396        | 922.67  | -56012.50178891116  |
| ZILUSDT   | 0.001767                  | 66.2          | 0.01414          | 0.01718         | 0.22              | 0.8665                       | 0.009141        | 996.58  | -56012.50176716577  |
| NEARUSDT  | 0.001767                  | 78.93         | 0.008759         | 0.01496         | 0.1599            | 0.8913                       | 0.007783        | 877.62  | -56012.50176665853  |
| COTIUSDT  | 0.001746                  | 86.3          | 0.008642         | 0.01803         | 0.143             | 0.8719                       | 0.009396        | 731.67  | -56012.501746173744 |
| NKNUSDT   | 0.001745                  | 86.15         | 0.01632          | 0.01534         | 0.08845           | 0.8893                       | 0.00857         | 701.67  | -56012.5017446866   |
| RLCUSDT   | 0.00172                   | 70.77         | 0.01045          | 0.01449         | 0.2019            | 0.9126                       | 0.008558        | 953.67  | -56012.501720062224 |
| ADAUSDT   | 0.001693                  | 54.35         | 0.007082         | 0.02317         | 0.262             | 0.7178                       | 0.009938        | 1135.62 | -56012.501692618534 |
| THETAUSDT | 0.001653                  | 67.72         | 0.01045          | 0.01198         | 0.1264            | 0.8674                       | 0.008651        | 1018.62 | -56012.50165253531  |
| SKLUSDT   | 0.001644                  | 63.47         | 0.009684         | 0.01212         | 0.06236           | 0.9141                       | 0.006617        | 823.67  | -56012.50164402377  |
| HOTUSDT   | 0.001629                  | 57.88         | 0.007123         | 0.01606         | 0.1996            | 0.907                        | 0.008799        | 711.67  | -56012.501629474034 |
| ATOMUSDT  | 0.00161                   | 79.43         | 0.0101           | 0.01794         | 0.07821           | 0.7326                       | 0.009821        | 1128.46 | -56012.50161012888  |
| RVNUSDT   | 0.001566                  | 79.1          | 0.01212          | 0.01653         | 0.1122            | 0.8908                       | 0.00891         | 746.67  | -56012.501566487466 |
| ONEUSDT   | 0.001551                  | 72.03         | 0.01329          | 0.01224         | 0.06047           | 0.8794                       | 0.008584        | 723.67  | -56012.501551327805 |
| CTKUSDT   | 0.001519                  | 91.02         | 0.01529          | 0.01223         | 0.2803            | 0.8887                       | 0.005955        | 842.67  | -56012.501518536985 |
| ALPHAUSDT | 0.001487                  | 64.12         | 0.01197          | 0.01814         | 0.01018           | 0.8906                       | 0.009029        | 838.67  | -56012.50148727087  |
| RSRUSDT   | 0.001487                  | 80.82         | 0.01481          | 0.01598         | 0.1799            | 0.8994                       | 0.007715        | 873.67  | -56012.501487077534 |
| ALICEUSDT | 0.001482                  | 81.45         | 0.01316          | 0.01595         | 0.1639            | 0.8894                       | 0.009716        | 725.83  | -56012.50148192601  |
| XRPUSDT   | 0.001361                  | 93.25         | 0.007368         | 0.01701         | 0.1779            | 0.8187                       | 0.009683        | 1160.62 | -56012.501360514085 |
| ETHUSDT   | 0.00132                   | 66.42         | 0.006909         | 0.02008         | 0.176             | 0.8726                       | 0.009546        | 1165.96 | -56012.50132010883  |
| LRCUSDT   | 0.001313                  | 81.58         | 0.01184          | 0.01176         | 0.117             | 0.9075                       | 0.006549        | 873.67  | -56012.50131302749  |
| ENJUSDT   | 0.001309                  | 80.45         | 0.007297         | 0.01744         | 0.1407            | 0.8403                       | 0.008225        | 893.67  | -56012.50130872331  |
| UNIUSDT   | 0.00129                   | 57.82         | 0.009            | 0.01686         | 0.2717            | 0.8087                       | 0.009501        | 904.67  | -56012.501289934924 |
| DEFIUSDT  | 0.001255                  | 82.53         | 0.0139           | 0.01347         | 0.1106            | 0.932                        | 0.005554        | 925.67  | -56012.501254687    |
| FILUSDT   | 0.001243                  | 94.37         | 0.01346          | 0.01388         | 0.1862            | 0.8873                       | 0.00729         | 876.71  | -56012.50124318818  |
| ICXUSDT   | 0.001241                  | 75.78         | 0.009944         | 0.01801         | 0.244             | 0.8493                       | 0.009544        | 907.67  | -56012.50124113148  |
| SFPUSDT   | 0.001237                  | 77.83         | 0.01165          | 0.01446         | 0.2756            | 0.823                        | 0.008148        | 745.67  | -56012.50123692093  |
| 1INCHUSDT | 0.001206                  | 81.37         | 0.01077          | 0.01701         | 0.2078            | 0.8667                       | 0.009596        | 806.54  | -56012.501206147004 |
| DOTUSDT   | 0.001194                  | 57.48         | 0.007611         | 0.01289         | 0.1976            | 0.8445                       | 0.009088        | 931.67  | -56012.50119422407  |
| SNXUSDT   | 0.001185                  | 68.35         | 0.01372          | 0.01113         | 0.1357            | 0.9052                       | 0.007133        | 939.67  | -56012.50118503644  |
| ZENUSDT   | 0.001165                  | 94.25         | 0.01864          | 0.01557         | 0.1965            | 0.8657                       | 0.009204        | 837.67  | -56012.501164964735 |
| OMGUSDT   | 0.001156                  | 81.32         | 0.01155          | 0.01203         | 0.0559            | 0.9005                       | 0.007392        | 982.58  | -56012.50115649264  |
| BNBUSDT   | 0.001153                  | 88.12         | 0.005498         | 0.005354        | 0.1926            | 0.9062                       | 0.002124        | 1125.62 | -56012.50115282032  |
| DENTUSDT  | 0.001145                  | 71.72         | 0.007598         | 0.02178         | 0.1684            | 0.8365                       | 0.009724        | 717.79  | -56012.5011445626   |
| TOMOUSDT  | 0.001129                  | 66.22         | 0.01281          | 0.01218         | 0.1208            | 0.8765                       | 0.004304        | 880.67  | -56012.50112875919  |
| CELRUSDT  | 0.001122                  | 83.25         | 0.01392          | 0.01553         | 0.01298           | 0.9151                       | 0.005316        | 712.67  | -56012.50112206454  |
| AXSUSDT   | 0.00112                   | 84.25         | 0.01549          | 0.01499         | 0.1266            | 0.8723                       | 0.008383        | 841.67  | -56012.50111974515  |
| KSMUSDT   | 0.001118                  | 81.02         | 0.01175          | 0.01349         | 0.2475            | 0.8984                       | 0.006589        | 878.67  | -56012.50111845671  |
| CRVUSDT   | 0.001111                  | 74.48         | 0.01167          | 0.01548         | 0.05788           | 0.871                        | 0.009095        | 921.67  | -56012.50111132745  |
| DGBUSDT   | 0.001109                  | 65.5          | 0.01306          | 0.01626         | 0.1904            | 0.8367                       | 0.009806        | 689.83  | -56012.50110863929  |
| STORJUSDT | 0.001096                  | 80.28         | 0.01061          | 0.01201         | 0.09006           | 0.9046                       | 0.006276        | 906.67  | -56012.50109616341  |
| BELUSDT   | 0.001094                  | 91.78         | 0.01595          | 0.01755         | 0.1575            | 0.8788                       | 0.009682        | 843.67  | -56012.50109359033  |
| EOSUSDT   | 0.00108                   | 91.3          | 0.01004          | 0.01634         | 0.189             | 0.765                        | 0.008139        | 1158.62 | -56012.50107960103  |
| BATUSDT   | 0.001077                  | 91.5          | 0.01194          | 0.01773         | 0.1158            | 0.8322                       | 0.009418        | 1122.62 | -56012.501077194305 |
| RUNEUSDT  | 0.001062                  | 71.28         | 0.01093          | 0.01907         | 0.1492            | 0.8946                       | 0.009278        | 918.67  | -56012.50106232494  |
| KAVAUSDT  | 0.001046                  | 80.18         | 0.01484          | 0.01406         | 0.1925            | 0.9072                       | 0.005004        | 956.67  | -56012.50104567938  |
| MTLUSDT   | 0.001038                  | 80.77         | 0.01503          | 0.01719         | 0.03018           | 0.8593                       | 0.009741        | 710.67  | -56012.501037815004 |
| LTCUSDT   | 0.001036                  | 79.38         | 0.006656         | 0.01431         | 0.1245            | 0.8607                       | 0.008021        | 1157.62 | -56012.50103586234  |
| QTUMUSDT  | 0.001032                  | 86.0          | 0.01471          | 0.01602         | 0.03217           | 0.9004                       | 0.00648         | 1115.62 | -56012.50103233947  |
