+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                     long                                                                                    |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| INJUSDT      | 0.005971      | 0.00477     | 64.08         | 0.01643      | 0.01656     | 0.138          | 0.9045                 | 0.01578      | 244.92  | -22518.0059711 |
| 1000SHIBUSDT | 0.003386      | 0.005134    | 46.18         | 0.00779      | 0.01986     | 0.1233         | 0.7372                 | 0.01569      | 724.29  | -22518.003386  |
| QNTUSDT      | 0.003335      | 0.003712    | 74.72         | 0.01764      | 0.0198      | 0.07237        | 0.8966                 | 0.01379      | 180.92  | -22518.0033345 |
| SPELLUSDT    | 0.002928      | 0.002852    | 61.87         | 0.01005      | 0.01052     | 0.1403         | 0.934                  | 0.007536     | 224.5   | -22518.0029277 |
| LDOUSDT      | 0.002872      | 0.002842    | 80.3          | 0.01537      | 0.01979     | 0.1178         | 0.7951                 | 0.01247      | 208.5   | -22518.0028717 |
| IMXUSDT      | 0.002638      | 0.003062    | 39.15         | 0.009713     | 0.01337     | 0.08698        | 0.8771                 | 0.009077     | 447.88  | -22518.0026382 |
| HNTUSDT      | 0.002599      | 0.002762    | 55.15         | 0.009875     | 0.01461     | 0.1382         | 0.803                  | 0.01057      | 937.71  | -22518.0025991 |
| OPUSDT       | 0.002507      | 0.002856    | 74.53         | 0.01275      | 0.01583     | 0.1295         | 0.8742                 | 0.01228      | 321.42  | -22518.0025067 |
| CELOUSDT     | 0.002491      | 0.002834    | 56.23         | 0.01082      | 0.01579     | 0.0774         | 0.8267                 | 0.01226      | 584.88  | -22518.0024908 |
| STGUSDT      | 0.002385      | 0.002641    | 82.25         | 0.015        | 0.01957     | 0.1104         | 0.9054                 | 0.01195      | 236.5   | -22518.0023853 |
| SOLUSDT      | 0.002383      | 0.003627    | 64.35         | 0.01097      | 0.01529     | 0.03527        | 0.84                   | 0.009549     | 962.71  | -22518.0023826 |
| ICPUSDT      | 0.002336      | 0.002196    | 48.27         | 0.009538     | 0.01007     | 0.1461         | 0.9115                 | 0.006426     | 203.92  | -22518.0023357 |
| DUSKUSDT     | 0.002307      | 0.003035    | 48.67         | 0.0123       | 0.01378     | 0.03582        | 0.8708                 | 0.00954      | 482.88  | -22518.0023071 |
| APTUSDT      | 0.002299      | 0.002646    | 49.73         | 0.008194     | 0.0123      | 0.1404         | 0.9229                 | 0.009358     | 186.92  | -22518.0022988 |
| GALAUSDT     | 0.002252      | 0.002692    | 61.88         | 0.009899     | 0.01946     | 0.1394         | 0.7365                 | 0.01256      | 593.88  | -22518.0022516 |
| GRTUSDT      | 0.002112      | 0.003056    | 62.03         | 0.01317      | 0.01789     | 0.08783        | 0.7551                 | 0.01374      | 866.71  | -22518.0021117 |
| DOGEUSDT     | 0.002078      | 0.003532    | 67.9          | 0.007415     | 0.01579     | 0.1339         | 0.7957                 | 0.01146      | 1028.62 | -22518.0020776 |
| MKRUSDT      | 0.002024      | 0.002486    | 82.98         | 0.01196      | 0.01463     | 0.08892        | 0.7958                 | 0.0117       | 994.71  | -22518.0020241 |
| 1000LUNCUSDT | 0.001997      | 0.003737    | 59.63         | 0.009477     | 0.01495     | 0.1216         | 0.8975                 | 0.0101       | 221.46  | -22518.0019969 |
| HBARUSDT     | 0.001984      | 0.002988    | 61.95         | 0.008635     | 0.01706     | 0.06667        | 0.7921                 | 0.01122      | 778.71  | -22518.0019838 |
| FOOTBALLUSDT | 0.001941      | 0.002498    | 63.68         | 0.006895     | 0.01082     | 0.147          | 0.9163                 | 0.007201     | 229.88  | -22518.0019411 |
| COTIUSDT     | 0.001899      | 0.002852    | 81.98         | 0.01134      | 0.01553     | 0.1394         | 0.7765                 | 0.01235      | 785.71  | -22518.0018988 |
| ARUSDT       | 0.001833      | 0.00273     | 81.88         | 0.008834     | 0.01011     | 0.1117         | 0.9009                 | 0.006768     | 583.88  | -22518.0018328 |
| JASMYUSDT    | 0.001789      | 0.002247    | 38.87         | 0.006585     | 0.007672    | 0.05972        | 0.9189                 | 0.006048     | 379.88  | -22518.001789  |
