
# Note: coins with less than ~730 days worth of price history are not optimized on their own,
# but instead the best config from among the coins with longer price history is selected.

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| 1000LUNCUSDT | 0.003016      | 0.002898    | 0.01088      | 64.02         | 0.004923     | 0.00506     | 0.0            | 0.9498                 | 0.002229     | 260.42  | -230179.253016 |
| FETUSDT      | 0.002373      | 0.003851    | 0.07444      | 56.9          | 0.006561     | 0.006731    | 0.002922       | 0.9526                 | 0.00447      | 130.88  | -230179.252373 |
| 1000SHIBUSDT | 0.002312      | 0.005016    | 0.07335      | 37.87         | 0.00683      | 0.01951     | 0.06253        | 0.7403                 | 0.0124       | 747.25  | -230179.252312 |
| INJUSDT      | 0.002243      | 0.002168    | 0.07092      | 53.97         | 0.008663     | 0.009446    | 0.0909         | 0.9161                 | 0.007258     | 283.88  | -230179.252243 |
| SOLUSDT      | 0.002231      | 0.003443    | 0.04997      | 57.13         | 0.008432     | 0.01352     | 0.08875        | 0.8337                 | 0.009534     | 985.67  | -230179.252231 |
| DOGEUSDT     | 0.002128      | 0.004301    | 0.06456      | 53.67         | 0.006545     | 0.01474     | 0.09289        | 0.7962                 | 0.01042      | 1051.58 | -230179.252128 |
| MANAUSDT     | 0.002121      | 0.003618    | 0.06509      | 76.07         | 0.01066      | 0.01627     | 0.02654        | 0.7725                 | 0.01175      | 803.67  | -230179.252121 |
| HBARUSDT     | 0.002106      | 0.003413    | 0.06154      | 61.93         | 0.008413     | 0.01619     | 0.06378        | 0.8343                 | 0.01074      | 801.67  | -230179.252106 |
| PHBUSDT      | 0.00206       | 0.001822    | 0.05467      | 45.6          | 0.01499      | 0.01038     | 0.0003015      | 0.9733                 | 0.002451     | 100.38  | -230179.25206  |
| RNDRUSDT     | 0.002015      | 0.003603    | 0.04243      | 46.53         | 0.007951     | 0.01214     | 0.01798        | 0.9118                 | 0.007361     | 113.88  | -230179.252015 |
| OPUSDT       | 0.001949      | 0.003014    | 0.06888      | 58.17         | 0.01111      | 0.0136      | 0.06864        | 0.8831                 | 0.009534     | 360.38  | -230179.251949 |
| CHZUSDT      | 0.001941      | 0.003042    | 0.05772      | 91.87         | 0.01078      | 0.01512     | 0.07825        | 0.745                  | 0.01065      | 856.67  | -230179.251941 |
| AGIXUSDT     | 0.00189       | 0.002627    | 0.05849      | 60.92         | 0.0112       | 0.01057     | 0.01665        | 0.9341                 | 0.00532      | 100.38  | -230179.25189  |
| BANDUSDT     | 0.001861      | 0.003128    | 0.07142      | 75.35         | 0.01399      | 0.01212     | 0.09256        | 0.8732                 | 0.00872      | 1032.67 | -230179.251861 |
| MTLUSDT      | 0.001787      | 0.002082    | 0.04604      | 82.92         | 0.01406      | 0.01634     | 0.0202         | 0.8334                 | 0.008483     | 787.67  | -230179.251787 |
| LRCUSDT      | 0.001786      | 0.002916    | 0.07412      | 87.3          | 0.01275      | 0.01879     | 0.08253        | 0.7823                 | 0.01289      | 950.67  | -230179.251786 |
